"","Initial","MCD","BP-Fence","BP-Loop","AO-Fence","AO-Loop","AO-mrfDepth","bd (no limit)","bd (limit)"
"X (6,5)",6650,9123.6605,8214.9426,11050.1074,NA,NA,NA,8049.3445,8049.3445
"X (7,3)",86734,75545.6347,80161.5671,73947.0837,NA,NA,NA,80344.0077,80344.0077
"X (7,4)",18109,29027.9361,27279.4943,33348.242,NA,NA,NA,26989.8264,26989.8264
"X (8,2)",132208,98328.9042,103741.7677,96595.1818,17256.7804,88684.7968,88575.4711,123419.3046,123419.3046
"X (8,3)",20923,49956.5947,47709.3764,57597.3846,76938.7889,80386.7147,81426.921,29809.1437,29809.1437
"X (9,1)",112103,43470.3713,47024.0823,41679.2141,24262.8036,37620.8177,37619.9388,67437.9887,47178.5654
"X (9,2)",33250,34061.5559,NA,NA,NA,NA,NA,NA,NA
