"","Initial","MCD","BP-Fence","BP-Loop","AO-Fence","AO-Loop","AO-mrfDepth","bd (no limit)","bd (limit)"
"X (6,5)",238375,226989.7506,231579.5973,219268.5474,NA,NA,NA,232212.7243,232212.7243
"X (7,3)",633500,652977.0916,645489.689,656826.3923,NA,NA,NA,645080.6196,645080.6196
"X (7,4)",432257,403579.5991,409118.0802,393805.4633,NA,NA,NA,409668.1414,409668.1414
"X (8,2)",1458541,1557334.5336,1543798.4284,1565202.7202,1802824.1945,1588894.6185,1589222.0531,1484742.3112,1484742.3112
"X (8,3)",727098,713520.0419,715179.5887,710779.9884,702174.1655,700640.035,700177.2024,723167.6396,723167.6396
"X (9,1)",2210754,2139305.8771,2143331.5289,2137794.1869,2119750.5949,2133589.6437,2133588.7332,2164880.2174,2144072.5124
"X (9,2)",1517501,1538537.7789,NA,NA,NA,NA,NA,NA,NA
