"","Triangle 1 Reserve","Triangle 1 RMSE","Triangle 2 Reserve","Triangle 2 RMSE","Total Reserve","Total RMSE"
"Original",6435951,322573,489028,90542,6924978,337001
"MCD",6438541,283054,438497,45552,6877037,293870
"Bagplot-Fence",6427705,291416,441754,50822,6869460,301923
"Bagplot-Loop",6416549,283191,445097,41669,6861647,295999
"AO-Fence",6509807,294572,389602,62491,6899409,288668
"AO-Loop",6456446,292021,444764,47660,6901210,297914
"AO-mrfDepth",6456381,291999,445496,47722,6901876,297901
"bd (no limit)",6417482,304232,456439,68329,6873921,315131
"bd (limit)",6412956,301127,438432,61425,6851388,306010
